foreign_id,stage_l,discharge_l
SHLRK03,956.808,7257.91
SHLRK03,958.333,13674.5
SHLRK03,959.495,18175.8
SHLRK03,961.509,24009.6
SHLRK03,962.598,28576.5
SHLRK03,963.809,33430.8
SHLRK03,965.518,38569.9
SHLRK04,1051.06,0
SHLRK04,1052.86,258.044
SHLRK04,1055.73,1290.19
SHLRK04,1058.02,2580.34
SHLRK04,1059.54,3870.52
SHLRK04,1060.6,5160.71
SHLRK04,1062.66,9652.77
SHLRK04,1063.7,12972.2
SHLRK04,1064.65,17200.4
SHLRK04,1065.28,20277.9
SHLRK04,1065.9,23531.6
SHLRK04,1066.46,26700.5
SHLRK05,1122.88,0
SHLRK05,1123.94,88.6398
SHLRK05,1125.56,443.234
SHLRK05,1126.82,886.504
SHLRK05,1127.77,1329.74
SHLRK05,1128.58,1772.97
SHLRK05,1130.72,3228.01
SHLRK05,1131.96,4304.33
SHLRK05,1133.25,5745.48
